,y,emails
838,spam,try contact offer new video phone anytime network min half price rental camcorder call reply delivery wed
839,spam,last chance claim ur worth discount yes offer mobile c sub remove txt x stop
840,ham,luv u soo much u donåõt understand special u r ring u luv u xxx
841,ham,pls send comprehensive mail pay much
842,ham,prashanthettan mother pas away last night pray family
843,spam,urgent call landline complimentary ibiza holiday cash await collection sae c po box ppm
844,ham,go
845,ham,meanwhile shit suite xavier decide give u lt gt second warn samantha come play jay guitar impress shit also think doug realize live anymore
846,ham,stomach thru much trauma swear ca eat better lose weight
847,ham,office whats matter msg call break
848,ham,yeah barely enough room two u x many fuck shoe sorry man see later
849,spam,today offer claim ur worth discount voucher text yes savamob member offer mobile c sub unsub reply x
850,ham,u reach orchard already u wan go buy ticket first
851,ham,real baby want bring inner tigress
852,ham,da run activate full version da
853,ham,poor baby hope urfeeling bettersn luv probthat overdose work hey go careful spk u sn lot lovejen
854,ham,stop story tell return say order
855,spam,talk sexy make new friend fall love world discreet text date service text vip see could meet
856,ham,go take babe
857,ham,hai ana tomarrow come morning lt decimal gt ill sathy go rto office reply come home
858,ham,spoon okay
859,ham,say somebody name tampa
860,ham,work go min
861,ham,brother genius
862,ham,sorry guess whenever get hold connection maybe hour two text
863,ham,u find time bus coz need sort stuff
864,ham,dude ive see lotta corvette lately
865,spam,congratulation ur award either yr supply cd virgin record mystery gift guarantee call t c approx
866,ham,consider wall bunker shit important never play peaceful guess place high enough matter
867,spam,private account statement xxxxxx show point call identifier code expire
868,spam,hello need posh bird chap user trial prod champneys put need address dob asap ta r
869,spam,u want xmas free text message new video phone half price line rental call free find
870,ham,well officially philosophical hole u wan na call home ready save
871,ham,go good problem still need little experience understand american customer voice
872,ham,text drop x
873,ham,ugh long day exhaust want cuddle take nap
874,ham,talk atleast day otherwise miss best friend world shesil lt gt
875,spam,shop till u drop either cash travel voucher call ntt po box fixedline cost mobile vary
876,ham,castor need see something
877,spam,sunshine quiz wkly q win top sony dvd player u know country liverpool play mid week txt ansr sp tyrone
878,spam,u secret admirer look make contact r reveal think ur
879,spam,u secret admirer look make contact r reveal think ur
880,spam,reminder download content already pay goto http mymoby collect content
881,ham,see know give break time woul lead always want miss curfew gon na gibe one midnight movie gon na get til need come home need getsleep anything need b studdying ear train
882,ham,love give massage use lot baby oil fave position
883,ham,dude go sup
884,ham,yoyyooo u know change permission drive mac usb flash drive
885,ham,gibbs hussey
886,ham,like talk pa able dont know
887,ham,dun cut short leh u dun like ah fail quite sad
888,ham,unbelievable faglord
889,ham,know time murder exactly
890,ham,ask princess
891,ham,great princess think
892,ham,nutter cutter ctter cttergg cttargg ctargg ctagg ie
893,ham,ok noe u busy really bore msg oso dunno wat colour choose one
894,ham,g class early tomorrow thus try smoke lt gt
895,ham,superb grateful u dont everything u want mean u still opportunity happier tomorrow u
896,ham,hope good week check
897,ham,use hope agent drop since book thing year whole boston nyc experiment
898,ham,thursday night yeah sure thing work
899,spam,free ringtone wait collect simply text password verify get usher britney fml
900,ham,probably money worry thing come due several outstanding invoice work two three month ago
901,ham,possible teach
902,ham,wonder phone battery go dead tell love babe
903,ham,lovely smell bus ai tobacco
904,ham,get worry derek taylor already assume worst
905,ham,hey charles sorry late reply
906,spam,lastest stereophonics marley dizzee racal libertine stroke win nookii game flirt click themob wap bookmark text wap
907,ham,give plus say grinule greet whenever speak
908,ham,white fudge oreo store
909,spam,january male sale hot gay chat cheaper call national rate cheap peak stop text call
910,ham,love come take long leave zaher get word ym happy see sad leave miss
911,ham,sorry hurt
912,ham,ca feel nauseous piss eat sweet week cause today plan pig diet week hungry
913,ham,ok lor early still project meet
914,ham,call da wait call
915,ham,could ask carlos could get anybody else chip
916,ham,actually send reminder today wonderful weekend
917,ham,people see msg think iam addict msging wrong bcoz know iam addict sweet friend bslvyl
918,ham,hey give photo register drive ah tmr wan na meet yck
919,ham,dont talk ever ok word
920,ham,u wana see
921,ham,way school pls send ashley number
922,ham,shall fine avalarr hollalater
923,ham,go attend another two round today still reach home
924,ham,actually delete old website blogging
925,ham,k wait chikku il send aftr lt gt min
926,ham,diet eat many slice pizza yesterday ugh always diet
927,ham,k give kvb acc detail
928,ham,oh come ah
929,spam,money r lucky winner claim prize text money give away text rate
930,ham,really sorry wo b able u find yr term go ok
931,ham,congratulation ore mo owo wa enjoy wish many happy moment fro wherever go
932,ham,samus shoulder yet
933,ham,time think need know near campus
934,spam,dear matthew please call landline complimentary lux tenerife holiday cash await collection sae c
935,ham,dun wear jean lor
936,ham,since side fever vomitin
937,ham,k college
938,spam,urgent call landline complimentary tenerife holiday cash await collection sae c box
939,ham,better make friday stuff like pig yesterday feel bleh least writhe pain kind bleh
940,ham,sell ton coin sell coin someone thru paypal voila money back life pocket
941,ham,theyre lot place hospital medical place safe
942,spam,get touch folk wait company txt back name age opt enjoy community
943,ham,also sorta blow couple time recently id rather text blue look weed
944,ham,send score sophas secondary application school think think apply research cost also contact joke ogunrinde school one le expensive one
945,ham,cant wait see photo useful
946,spam,ur currently pound maximize ur send go cc po box
947,ham,hey book kb sit already lesson go ah keep sit night free need meet confirm lodge
948,ham,chk ur belovd m dict
949,ham,time want come
950,ham,awesome lem know whenever around
951,ham,shb b ok lor thanx
952,ham,beautiful truth gravity read carefully heart feel light someone feel heavy someone leave good night
953,ham,also remember get dobby bowl car
954,spam,filthy story girl wait
955,ham,sorry c ur msg yar lor poor thing one night tmr u brand new room sleep
956,ham,love decision feel could decide love life would much simpler le magical
957,ham,welp apparently retire
958,ham,sort code acc bank natwest reply confirm send right person
959,ham,
960,ham,u sure u ca take sick time
961,spam,urgent try contact today draw show prize guarantee call land line claim
962,ham,watch cartoon listen music amp eve go temple amp church u
963,ham,yo chad gymnastics class wan na take site say christian class full
964,ham,much buzy
965,ham,better still catch let ask sell lt gt
966,ham,sure night menu know noon menu
967,ham,u want come back beautiful necklace token heart give wife see one give call wait till come
968,ham,will go aptitude class
969,ham,wont b try sort house ok
970,ham,yar lor wan go c horse race today mah eat earlier lor eat chicken rice u
971,ham,haha awesome omw back
972,ham,yup thk e shop close lor
973,ham,account number
974,ham,eh u send wrongly lar
975,ham,hey ad crap nite borin without ya boggy u bore biatch thanx u wait til nxt time il ave ya
976,ham,ok shall talk
977,ham,dont hesitate know second time weakness like keep notebook eat day anything change day sure nothing
978,ham,hey pay salary de lt gt
979,ham,another month need chocolate weed alcohol
980,ham,start search get job great potential talent
981,ham,reckon need town eightish walk carpark
982,spam,congrats mobile videophones r call videochat wid mat play java game dload polyph music noline rentl
983,ham,look fuckin time fuck think
984,ham,yo guess drop
985,ham,carlos say mu lt gt minute
986,ham,office call lt gt min
987,ham,geeee miss already know think fuck ca wait till next year together love kiss
988,ham,yun ubi one say wan call look get ubi cres ubi tech
989,ham,ugh get ta drive back sd la butt sore
990,ham,july
991,ham,hi im relax time ever get every day party good night get home tomorrow
992,ham,ìï wan come come lor din c strip skirt
993,ham,xmas story peace xmas msg love xmas miracle jesus hav bless month ahead amp wish u merry xmas
994,ham,ca number
995,ham,change e one next escalator
996,ham,yetunde class run water make pls
997,ham,lot happen feel quiet beth aunt charlie work lot helen mo
998,ham,wait bus stop aft ur lect lar dun c go get car come back n pick
999,ham,aight thank comin
1000,ham,hear abt tat
1001,spam,please call customer service representative freephone guarantee cash prize
1002,ham,yes really great bhaji tell kallis best cricketer sachin world tough get
1003,ham,lt gt think say syllabus
1004,ham,umma say anything
1005,ham,give sec think think
1006,spam,panasonic bluetoothhdset free nokia free motorola free doublemins doubletxt orange contract call call
1007,ham,quite know still ca get hold anyone cud pick bout see pub
1008,ham,poyyarikatur kolathupalayam unjalur post erode dis lt gt
1009,ham,dear hero leave qatar tonite apt keep touch lt email gt kerala
1010,ham,lol would mom would fit tell whole family crazy terrible
1011,ham,get home babe still awake
1012,ham,dunno close oredi ìï v fan
1013,ham,buy pizza meat lover supreme u get pick
1014,ham,ya tell ask wats matter
1015,ham,dear regret cudnt pick frm ctla cochin mobile car ente style ishtamayoo happy bakrid
1016,spam,free week nokia tone ur mob every week txt nokia get txting tell ur mat pobox
1017,ham,shall send exe mail id
1018,ham,nope watch tv home go v bore
1019,ham,know wait check
1020,ham,good afternoon glorious anniversary day sweet j hope find happy content prey think send tease kiss across sea coax image fond souveniers
1021,spam,guess somebody know secretly fancy wan na find give u call landline
1022,ham,still tonight
1023,ham,may call later pls
1024,ham,pattern recently crap weekend
1025,ham,sore throat scratch talk
1026,ham,yes da plm ur office
1027,ham,around still asleep v
1028,ham,lol forget eh yes bring babe
1029,ham,good find way
1030,ham,use foreign stamp country good lecture
1031,ham,yup bathe liao
1032,ham,happy new year man
1033,ham,oh mr sheffield wan na play game okay bos nanny give raise give one
1034,ham,zoe hit im fuck shitin il defo try hardest cum luv u million lekdog
1035,ham,hello baby get back mom set computer fill belly go loverboy miss already sigh
1036,ham,blanket sufficient thx
1037,ham,naughty little think better flirt flirt n flirt rather love someone n gettin hurt hurt n hurt gud nyt
1038,ham,edison rightly say fool ask question wise man know u speechless viva gm
1039,ham,talk thats de wont
1040,ham,today go college able atten class
1041,ham,class holla later
1042,ham,easy ah sen get select mean good
1043,ham,mmm thats better get roast iåõd b better drink good indian
1044,spam,know someone know fancy call find pobox
1045,ham,come round
1046,ham,thing change sentence want concentrate educational career im leave
1047,spam,flirt txt girl bloke ur name age eg girl zoe join get chat
1048,ham,walk hour c u doesnåõt show care wont u believe im serious
1049,spam,day kickoff u keep inform latest news result daily unsubscribe send get euro stop
1050,ham,available soiree june
1051,ham,u noe wat time e place dat sell close
1052,ham,get another job one hospital data analysis something start monday sure thesis get finish
1053,ham,jay get really impatient belligerent
1054,ham,hiya comin bristol st week april le get rudi new yr eve drink u bak college yet work send ink bath
1055,ham,work please call
1056,ham,u drive lor
1057,ham,ard like dat
1058,ham,tell female v throw decide get
1059,spam,eastenders tv quiz flower dot compare violet tulip lily txt e f chance win cash
1060,ham,work technical support voice field
1061,ham,might come kerala prepare take leave finalise plan travel finish urgent work
1062,ham,sure time tho sure get library class try see point good eve
1063,spam,new local date area lot new people register area reply date start
1064,ham,fine bitch later
1065,ham,mum go dentist
1066,ham,free call sir wait
1067,ham,meet u work tel shall work tomorrow
1068,spam,someone u know ask date service contact cant guess call reveal po
1069,ham,jus finish bath
1070,ham,alright make sure car back tonight
1071,spam,urgent try contact today draw show prize guarantee call land line claim
1072,spam,dear u invite xchat final attempt contact u txt chat
1073,ham,lul im gettin juicy gossip hospital two nurse talk fat gettin one think shes obese oyea
1074,ham,aight ill get fb couple minute
1075,ham,oi ami parchi na kicchu kaaj korte iccha korche na phone ta tul na plz plz
1076,ham,download clear movie dvd copy
1077,ham,yep pretty sculpture
1078,ham,convey regard
1079,ham,watch surya movie pm vijay movie pokkiri
1080,ham,tell happen dont behave like ok need say
1081,ham,u get pic msg phone
1082,ham,send someone else
1083,ham,wat make people dearer de happiness dat u feel u meet de pain u feel u miss dem
1084,ham,love start feel need every time around first thing come would start day end every time every breath life happen around life name would cry give happiness take ready fight anyone love craziest thing proove anyone girl beautiful lady whole always sing praise start make chicken curry end makiing beautiful get every morning thank god day would like say lot tell later
1085,ham,like needle clock though v r clock v r nt able meet evn v meet itz second bt v alwys stay conected gud
1086,ham,think spatula hand
1087,ham,never nothing
1088,spam,award sipix digital camera call landline delivery within c warranty p
1089,ham,goodmorning today late lt decimal gt min
1090,spam,win urgent mobile number award prize guarantee call land line claim valid
1091,ham,please da call mistake side sorry da pls da goto doctor
1092,ham,r meet
1093,ham,well weather cali great complexity great need car move freely tax outrageous great place sad part miss home
1094,ham,reach home tire come tomorro
1095,ham,ryder gibbs
1096,spam,dear subscriber ur draw gift voucher b enter receipt correct an elvis presley birthday txt answer
1097,ham,fret buy ovulation test strip send wont get til like march send postal
1098,ham,gift try get throw cliff something
1099,ham,ne thing interest good birthday u wrking nxt start uni today
1100,ham,busy come point figure tomorrow
1101,ham,yeah go bore depress sittin waitin phone ring hope wind drop though scary
1102,ham,black shirt n blue jean thk c
1103,ham,aiyah sorry lor watch tv watch forget check phone
1104,spam,message important information user today lucky day find log onto http fantastic surprise await
1105,ham,hen night go swing
1106,ham,good afternoon love go day wake early online wait hmmm italian boy online see grin
1107,ham,someone smoke every time smoke last two week call texting want smoke
1108,ham,get headache try figure u trust math promise
1109,ham,first time dhoni rock
1110,ham,ok ill tell company
1111,ham,awesome think get usf time tonight
1112,ham,mean still think teju
1113,ham,good movie ok leave hourish
1114,ham,kallis home home town durban
1115,ham,let make saturday monday per convenience
1116,ham,hey time drive fri go evaluation fri
1117,spam,price claim call
1118,ham,go lunch wif family aft dat go str orchard lor
1119,spam,bore speed date try speedchat txt speedchat like em txt swap get new chatter rcd
1120,ham,cancel cheyyamo get money back
1121,spam,want anytime network min text new video phone five pound per week call reply delivery tomorrow
1122,ham,ok whats ur today plan
1123,ham,good morning princess
1124,ham,aiyar sorry lor forget tell u
1125,spam,take part mobile survey yesterday text use however wish get txts send txt c
1126,ham,tonight mate catch sleep new number way
1127,ham,height shit situation guy throw luv letter gal fall brother head who gay
1128,spam,ur hmv quiz currently maximize ur send
1129,ham,check error difficulty correction
1130,ham,howz pain hope u r fine
1131,ham,sorry call later
1132,ham,good morning princess
1133,ham,enter cabin pa say happy bos felt special askd lunch lunch invite apartment go
1134,ham,u wake already thanx e tau sar piah quite nice
1135,ham,k need login anything
1136,spam,dont forget place many free request wish information call
1137,ham,lol busy
1138,ham,u wear
1139,ham,message text miss sender name miss number miss send date miss miss u lot thats everything miss send via
1140,ham,oh usual vijay film different
1141,spam,know u u know send chat let find rcvd ldn year
1142,ham,good day mine really busy much tomorrow night
1143,ham,way send shade stuff wonderful
1144,ham,really tot ur paper end long ago wat u copy jus get use u happy lar still haf study
1145,spam,thank winner notify sm good luck future market reply stop customer service
1146,ham,babe lose
1147,ham,ok help ask work tmr
1148,ham,drive rain get catch e mrt station lor
1149,ham,drop tank
1150,ham,say text one time
1151,ham,sorry call later
1152,ham,ok go change also
1153,spam,girl many local u r virgin r ready ur every sexual need u text cute
1154,ham,u find sitter kaitlyn sick sleep day yesterday
1155,ham,sorry man accidentally leave phone silent last night check til get
1156,ham,hey something come last min think wun sign tmr hee
1157,ham,adult would learn experience real danger dont like peep use drug dont need comment
1158,ham,hey veggie pizza
1159,ham,yun buy school get offer plus
1160,ham,sure neighbor didnt pick
1161,ham,send
1162,spam,free entry wkly comp win fa cup final tkts may text fa receive entry question std txt rate c apply
1163,ham,new theory argument win situation lose person dont argue ur friend kick amp say always correct
1164,ham,well im computerless time make oreo truffle
1165,ham,haha yeah see sec
1166,ham,number sir
1167,ham,lol hot air balloon
1168,ham,ok bus come soon come otherwise tomorrow
1169,ham,msg r time silently say think u right also make u think least moment gd drms shesil
1170,ham,yeah probably swing roommate finish girl
1171,spam,get take take part wrc rally oz u lucozade energy text rally le see pack itcould u
1172,ham,happy new year melody
1173,ham,ìï dun need pick ur gf
1174,ham,yay better tell girl either
1175,ham,horrible u eat mac eat u forget abt already rite u take long reply thk toot b prepare wat shall eat
1176,ham,say fantastic chance anything need bigger life lift lose live think would first person die n v q
1177,ham,nw come hme da
1178,ham,outside island head towards hard rock run
1179,ham,day class class
1180,ham,chennai velachery
1181,ham,flippin shit yet
1182,ham,k give sec break lt gt cstore
1183,ham,much bad avoid like
1184,ham,yo around get car back
1185,ham,annoy
1186,ham,goodmorning today late lt gt min
1187,ham,point hangin mr right makin u happy
1188,ham,come correct good look figure
1189,ham,case guess see campus lodge
1190,ham,do
1191,ham,come home one last time wont anything trust
1192,ham,night worry appt shame miss girl night quiz popcorn hair
1193,spam,sex ur mobile free sexy pic jordan text babe every wk get sexy celeb pic
1194,ham,ok c ya
1195,spam,new voicemail please call
1196,ham,say matter mind say matter
1197,ham,also know lunch menu da know
1198,ham,al moan n e thin go wrong fault al de argument r fault feed himso bother hav
1199,ham,neft transaction reference number lt gt r lt decimal gt credit beneficiary account lt gt lt time gt lt gt
1200,ham,otherwise part time job
1201,ham,know call
1202,ham,also da feel yesterday night wait til night dear
1203,ham,thank understand try tell sura
1204,spam,win year supply cd store ur choice worth enter weekly draw txt music t c
1205,ham,whole car appreciate last two dad map read semi argument apart thing go p
1206,spam,sim subscriber select receive bonus get deliver door txt word ok claim exp
1207,ham,need strong arm
1208,ham,also maaaan miss
1209,ham,bday real april
1210,ham,guessin ai gon na
1211,ham,ok come ur home half hour
1212,ham,yo game almost want go walmart soon
1213,ham,yeah probably sure ilol let u know personally wuldnt bother ur goin mite well
1214,ham,text creepy like wo think forget
1215,ham,would good phone tomo lunchtime shall organise something
1216,spam,new voicemail please call
1217,ham,damn make tonight want wait til tomorrow
1218,ham,k k also fine complete course
1219,ham,true passable get high score apply phd get salary make life easier
1220,spam,nokia tone ur mob every week txt nok tone free get txtin tell ur friend reply hl
1221,ham,prakesh know
1222,ham,teach apps da come college
1223,ham,rofl betta invest anti age product
1224,spam,winner u specially select receive cash holiday flight inc speak live operator claim
1225,ham,sir receive account another time sorry delay
1226,spam,reply name address receive post week completely free accommodation various global location
1227,ham,submit da project tmr rite
1228,spam,free entry weekly comp send word enter c cust care
1229,ham,jus an lar u noe later
1230,ham,want send something sell fast lt gt k easy money
1231,ham,get thing may pub later
1232,ham,finish meet call
1233,ham,lol ok snatch purse
1234,ham,edrunk sorry iff pthis make dancce drum n basq ihave fun x ro
1235,ham,opinion jada kusruthi lovable silent spl character mature stylish simple pls reply
1236,ham,much get
1237,ham,ur paper e morn aft tmr
1238,ham,dear relieve westonzoyland go plan end
1239,ham,hope great new semester wish best make greatness
1240,ham,oh yes speak txt u hmm u get email
1241,ham,want show world princess europe
1242,ham,nobody decide eat dad want chinese
1243,ham,shoot doc wait room
1244,ham,go dinner soon
1245,ham,hello site download song urgent pls
1246,ham,know u mean king havin credit night night sweet sleep
1247,ham,horrible gal sch stuff come u get mc
1248,ham,hi hun im comin im sorry hope u ava goodtime oli ring melnite ifink mite b sort il explain everythin
1249,ham,call later network urgnt sm
1250,ham,ummmmmaah many many happy return day dear sweet heart happy birthday dear
1251,spam,please call immediately urgent message wait
1252,ham,yeah like go like friend imma flip shit like half hour
1253,ham,mum say wan go go shun bian watch da glass exhibition
1254,ham,plan pongal
1255,ham,wait till end march el nino get oh
1256,ham,yet chikku go room nw bus
1257,ham,also cbe pay
1258,ham,honey boo miss u
1259,ham,send jd customer service cum account executive ur mail id detail contact u
1260,ham,yo parent gettin cash good news pick downstem
1261,ham,thank much skyped wit kz sura didnt get pleasure company hope good give ultimatum oh countin aburo enjoy
1262,spam,hungry gay guy feel hungry call stop text call
1263,ham,wahala remember friend need
1264,ham,see half hour
1265,ham,im inperialmusic weirdest track ever byåóleafcutter like insect molest someone plumb remixed evil men acid
1266,ham,sorry didntgive ya bellearlier hunny
1267,ham,seriously tell exact word right
1268,spam,u get phone wan na chat set meet call u cum luv jane xx
1269,ham,tee hee lecture cheery bye bye
1270,ham,sorry chikku cell get problem thts nt able reply u msg u
1271,ham,still havent collect dough pls let know go place send get control number
1272,ham,ok
1273,spam,network operator service free c visit
1274,ham,let know contact settle room let know ok
1275,ham,wot u u weirdo
1276,ham,lor
1277,ham,dont put phone silent mode ok
1278,ham,meet depend wan lor
1279,ham,wait tv show start lor u leh still busy ur report
1280,ham,oh ho first time u use type word
1281,ham,one stalk profile
1282,ham,ever green quote ever tell jerry cartoon person irritate u always one love u vry much fail express gud nyt
1283,ham,yes think thank
1284,ham,drinkin ok
1285,ham,wonder others take
1286,ham,night end another day morning come special way may smile like sunny ray leave worry blue blue bay gud mrng
1287,ham,dog must always wait till end day word run time cell already
1288,ham,happy new year u
1289,ham,hey great deal farm tour deposit may
1290,ham,eat jap do oso aft ur lect wat ìï get lect rite
1291,ham,hey babe saw come online second disappear happen
1292,ham,da birthdate certificate april real date today dont publish shall give special treat keep secret way thank wish
1293,ham,happy birthday may ur dream come true
1294,ham,aiyah u ok already lar e nydc wheellock
1295,ham,tell say eat shit
1296,ham,sure drive reach destination soon
1297,ham,k much fifty
1298,ham,daily text favour time
1299,ham,great hear settle well happenin wit ola
1300,ham,cocksucker make feel better ipads worthless garbage novelty item feel bad even want one
1301,ham,tot u reach liao say
1302,ham,fran decide go n e way im completely break knackered get bout c u love janx dad fone credit
1303,ham,cant pick phone right pls send message
1304,ham,right make appointment right
1305,ham,designation software developer may get chennai
1306,spam,enjoy jamster videosound gold club credit new get fun help call
1307,spam,get lion england tone reply lionm mono lionp poly go original n best tone network operator rat apply
1308,ham,jokin oni lar ìï busy wun disturb
1309,ham,ok careful text drive
1310,ham,always even spirit get bb soon try sure need
1311,ham,u r much close heart u go away shatter plz stay
1312,ham,love u babe r u sure everything alrite idiot txt bak girlie
1313,ham,abt make pic bigger
1314,ham,get get colour lor one colour quite light n e darker lor actually do style hair
1315,ham,whenevr ur sad whenevr ur gray remembr im listn watevr u wan na say jus walk wid little amp promise bring back ur smile
1316,ham,nothing ok anyway give treat
1317,spam,win newest potter order phoenix book reply harry answer question chance first among reader
1318,ham,ok
1319,ham,correct work today
1320,ham,send scream moan bed princess
1321,ham,wake long ago already dunno thing
1322,ham,oh get even u u
1323,ham,thk shd ok say plus minus leave line paragraph
1324,ham,call plz number show coveragd area urgnt call vasai amp reach clock call plz
1325,ham,yeah jay sort fuck retard
1326,ham,sorry bathroom sup
1327,spam,ur balance ur next question sing girl answer txt ur answer good luck
1328,ham,exam february wish great day
1329,ham,dont know come ask question like dont mistake
1330,ham,aight rush ask jay
1331,ham,good morning plz call sir
1332,ham,ok lar u sleep early nite
1333,ham,oh icic k lor den meet day
1334,ham,oh half hour much longer syria canada eh wow must get much work do day u extra time grin
1335,ham,sometimes put wall around heart safe get hurt find care enough break wall amp get closer goodnoon
1336,ham,sweet may may go meet carlos gauge patty interest
1337,ham,buy today ìï need c meh
1338,ham,aight sorry take ten year shower plan
1339,ham,every monday nxt week vl complete
1340,ham,might ax well im
1341,ham,chill another could sleep pain surgical emergency see unfold okay
1342,ham,yeah try scrounge something
1343,ham,crazy ar marry ìï like gd look guy frens like say korean leona fave dun thk aft think mayb prob go
1344,ham,somewhere fredericksburg
1345,ham,que pas un buen tiempo something like
1346,ham,ok stay night xavier sleep bag get tire
1347,ham,doesnt need test
1348,ham,nothing much chillin home super bowl plan
1349,spam,sexy st george day pic jordan txt pic dont miss every wk saucy celeb pic c
1350,ham,bugis oso near wat
1351,ham,yo there class tmrw right
1352,ham,let ur heart ur compass ur mind ur map ur soul ur guide u never loose world gnun send via
1353,ham,goodnight sleep well da please take care pa please
1354,ham,baaaaabe miss youuuuu go teach class
1355,ham,convey regard
1356,ham,u ned convince tht possible witot hurt feel main
1357,ham,good afternoon loverboy go day luck come way think sweetie send love across sea make smile happy
1358,ham,start send blackberry torch nigeria find buyer like month tell dad buy bb anyone oh
1359,ham,lt gt pple marry lover becz hav gud undrstndng dat avoid problem send dis u u wil get gud news friday person like tomorrow best day life dont break chain break suffer send lt gt frnds lt gt min whn u read
1360,ham,yo dude guess get arrest day
1361,ham,shuhui say change suntec steamboat u noe r u
1362,ham,dance river
1363,ham,yetunde sorry moji seem busy able go shop please find way get want u get please forgive reply free via yahoo messenger
1364,ham,hey really pretty late want go lesson first join reach tp mrt
1365,spam,hot live fantasy call per min ntt ltd po box croydon k
1366,ham,bbq sit mine ur welcome come
1367,ham,know thing wrong everyso often panicks start goin bout bein good enough
1368,ham,alright good night
1369,ham,try make another butt
1370,ham,hope feel great pls fill abiola
1371,ham,though shd go n fun bar town something sound ok
1372,ham,go write msg put dictionary mode cover screen hand press lt gt gently remove ur hand interest
1373,spam,bear pic nick tom pete dick fact type try gay chat photo upload call stop text call
1374,spam,new mobile must go txt nokia collect today txtauction
1375,ham,finally ready fyi
1376,ham,auntie huai juan never pick phone
1377,spam,double min double txt price linerental latest orange bluetooth mobile call latest offer
1378,ham,ya tel wats ur problem
1379,spam,nokia tone ur mob every week txt nok tone free get txtin tell ur friend reply hl
1380,ham,dnt wnt tlk wid u
1381,ham,spend day wait ideal path appear front u forget make walk wait goodnight
1382,ham,ok arm feel weak cuz get shoot go another time
1383,ham,please reserve ticket saturday eve chennai thirunelvali tirunelvali chennai sunday eve already see net ticket available want book ticket tackle
1384,ham,storm msg wen u lift phne u say u knw wt real mean hello name girl yes u knw dat girl margaret girlfrnd f grahmbell invnted telphone moral one name person
1385,ham,ok pop ask bout something say around tonght wen girl come
1386,ham,e best ur exam later
1387,ham,hope ur head hurt much plough way pile iron stay chinky tonight come round like
1388,ham,oh think wi nz player unsold
1389,ham,haha get fast lose weight thk muz go month den get effect gee later go aust put bk e weight
1390,ham,wonder get online love go net cafe get phone recharge friend net think boytoy
1391,ham,haha kid papa need drug
1392,ham,thk shld b ya wana go lesson haha go one whole stretch
1393,ham,oh ok
1394,ham,r still meet dinner tonight
1395,ham,thats cool gentleman treat dignity respect
1396,ham,shall start hear
1397,ham,wait u lor need feel bad lar
1398,ham,check get detail message
1399,ham,register sinco payee log enter urn lt gt confirm beware fraud share disclose urn anyone
1400,ham,decide people care stuff vote care stuff loser
1401,ham,kaiez enjoy ur tuition gee thk e second option sound beta go yan jiu den msg u
1402,ham,register sinco payee log enter urn lt gt confirm beware fraud share disclose urn anyone
1403,ham,cool fun practice make baby
1404,ham,actually get ready leave house
1405,ham,k k special today
1406,spam,urgent important information user today lucky day find log onto http fantastic surprise await
1407,ham,get ta
1408,ham,get ten buck jay noncomittal
1409,ham,hungry
1410,ham,pls speak customer machan
1411,ham,somewhere beneath pale moon light someone think u dream come true goodnite amp sweet dream
1412,ham,wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way show deep affection care n luv kettoda manda nice day da
1413,spam,dear u invite xchat final attempt contact u txt chat ldn yr
1414,ham,wats ur opinion abt abt character
1415,ham,jay snicker tell x totally fuck chord speak
1416,ham,hour hair cut
1417,ham,wonder co dun rem see silver car thk saw black one
1418,ham,lmao take pic send
1419,ham,feel word better silence gud mrng
1420,ham,currently scotland
1421,ham,work week
1422,spam,congratulation ur award either cd gift voucher free entry weekly draw txt music tncs
1423,ham,lol great im get hungry
1424,ham,yes saw message
1425,ham,mu like lt gt second
1426,ham,ok
1427,ham,thing r good thanx get exam march ive do revision fran still boyf ive get ta interviw exeter bite worry x
1428,ham,tell make little spreadsheet track whose idea smoke determine entire month february
1429,spam,sale arsenal dartboard good condition double treble
1430,ham,look back build coat want get sick hurry home wear coat gym
1431,ham,painful personal always try keep everybody happy time nobody recognise
1432,ham,thank lovely wish rock
1433,ham,intrepid duo great time see soon
1434,ham,ask sen come chennai search job
1435,ham,dad go oredi
1436,ham,jus hope true missin co really missin do anything feel guilty yet
1437,ham,wat late still early mah juz go dinner lor aiya dunno
1438,ham,arm fine cardiff uni
1439,ham,fact leave think addie go back school tues wed
1440,ham,cool breeze bright sun fresh flower twitter bird wait wish u amp nice
1441,ham,ya go restaurant
1442,ham,askd u knw tht
1443,spam,free week entry textpod chance win ipod cash every wk txt pod t c custcare
1444,ham,duck chinchilla
1445,ham,marriage function
1446,ham,look like u wil b get headstart im leave bout u r desperate company could head goin meet rummer
1447,ham,give fly monkey wot think certainly mind friend mine
1448,spam,register optin subscriber ur draw gift voucher enter receipt correct an whats bbc chart
1449,ham,say
1450,ham,msg rajini come
1451,ham,ya take ure practical lesson start june
1452,ham,good need drug
1453,ham,possible
1454,ham,decide faster co si go home liao
1455,spam,summer finally fancy chat flirt sexy single yr area get match reply summer free join optout txt stop
1456,ham,u sleep go take haha get spy wat online check n reply mail lor
1457,spam,claire havin borin time alone u wan na cum chat hope c u luv claire xx
1458,ham,fight world easy u either win lose bt fightng close u dificult u lose u lose u win u still lose
1459,spam,buy one ringtone get text cost pound offer tone etc
